,reviewid,neg,neu,pos,compound
0,22703,0.083,0.835,0.082,0.4742
1,22721,0.101,0.832,0.067,-0.9487
2,22659,0.049,0.866,0.084,0.9504
3,22661,0.077,0.776,0.148,0.9987
4,22725,0.012,0.862,0.127,0.9968
5,22722,0.056,0.784,0.16,0.9979
6,22704,0.033,0.854,0.113,0.9908
7,22694,0.028,0.901,0.071,0.9592
8,22714,0.032,0.882,0.086,0.9913
9,22724,0.082,0.792,0.126,0.9943
10,22715,0.06,0.795,0.146,0.9932
11,22745,0.15,0.711,0.139,-0.9608
12,22700,0.093,0.83,0.077,-0.8896
13,22720,0.081,0.842,0.077,-0.3407
14,22699,0.057,0.845,0.097,0.9704
15,22665,0.064,0.846,0.09,0.9756
16,22666,0.041,0.872,0.087,0.985
17,22719,0.031,0.745,0.224,0.9996
18,22667,0.051,0.845,0.104,0.9898
19,22691,0.105,0.748,0.147,0.9709
20,22702,0.099,0.823,0.078,-0.9518
21,22718,0.086,0.781,0.133,0.9925
22,22706,0.081,0.797,0.123,0.9723
23,22695,0.075,0.822,0.103,0.9786
24,22713,0.087,0.841,0.072,-0.9313
25,22705,0.033,0.802,0.165,0.999
26,22532,0.069,0.868,0.063,-0.7351
27,22701,0.029,0.912,0.059,0.8589
28,22707,0.046,0.87,0.083,0.9761
29,22708,0.121,0.771,0.108,-0.9341
30,22559,0.117,0.762,0.121,0.8425
31,22692,0.044,0.838,0.118,0.9939
32,22677,0.083,0.846,0.071,-0.8759
33,22469,0.114,0.767,0.118,-0.3213
34,22711,0.078,0.816,0.106,0.9815
35,22678,0.092,0.789,0.119,0.9891
36,22664,0.035,0.891,0.075,0.9847
37,22685,0.046,0.874,0.08,0.9772
38,22690,0.058,0.798,0.144,0.9947
39,22689,0.104,0.779,0.117,0.8999
40,22697,0.073,0.85,0.077,0.5866
41,22681,0.051,0.856,0.093,0.99
42,22698,0.09,0.771,0.139,0.9865
43,22684,0.031,0.855,0.115,0.9928
44,22693,0.02,0.896,0.084,0.9716
45,22686,0.055,0.827,0.118,0.9929
46,22643,0.038,0.882,0.08,0.998
47,22640,0.028,0.867,0.105,0.9834
48,22688,0.034,0.904,0.062,0.8625
49,22696,0.061,0.88,0.059,-0.5688
50,22663,0.032,0.891,0.077,0.9963
51,22687,0.04,0.873,0.086,0.9813
52,22662,0.062,0.849,0.089,0.9032
53,22317,0.073,0.788,0.139,0.9997
54,22673,0.078,0.813,0.11,0.9283
55,22655,0.08,0.8,0.12,0.9643
56,22593,0.047,0.867,0.087,0.9944
57,22627,0.066,0.831,0.103,0.9718
58,22555,0.044,0.881,0.074,0.9943
59,22682,0.024,0.862,0.113,0.9961
60,22679,0.089,0.81,0.101,0.7755
61,22657,0.044,0.844,0.112,0.9931
62,22654,0.061,0.811,0.128,0.9928
63,22631,0.034,0.904,0.062,0.9824
64,22683,0.05,0.845,0.105,0.9849
65,22635,0.043,0.833,0.124,0.9973
